feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,is_drift,batch_id,label_model,prob
V3,23.773604,V4,V3,5348.773182,V1,V4,4.0,V1,V1,4.0,V3,54.959175,none,V1,2.0,V2,1.0,none,yes,0,11,0,0.9598829746246338
V1,45.804974,V1,V2,779.061315,V0,V3,4.0,V2,V0,1.0,V0,44.039556,bank,V1,1.0,V2,1.0,yes,yes,0,11,1,0.5532291531562805
V3,24.575788,V2,V0,3008.229614,V0,V0,4.0,V3,V0,4.0,V2,33.609478,none,V0,1.0,V3,1.0,yes,yes,0,11,0,0.9107059836387634
V3,25.17228,V2,V8,3481.136075,V1,V4,3.0,V0,V0,4.0,V2,30.474973,none,V1,1.0,V1,1.0,none,yes,0,11,0,0.945064902305603
V3,24.181565,V4,V3,3318.579878,V4,V2,4.0,V1,V2,3.0,V0,40.491691,none,V1,2.0,V2,1.0,none,yes,0,11,0,0.997388482093811
V3,23.7922,V4,V3,2867.491456,V0,V2,3.0,V1,V0,2.0,V1,33.399854,none,V1,2.0,V1,1.0,none,yes,0,11,0,0.9724798798561096
V1,11.829829,V2,V0,875.144456,V2,V4,4.0,V1,V1,4.0,V1,28.22972,none,V1,3.0,V2,1.0,none,yes,0,11,1,0.5617771744728088
V3,2.818547,V4,V2,2898.930277,V4,V2,1.0,V2,V0,2.0,V2,26.450905,none,V0,2.0,V2,1.0,none,yes,0,11,0,0.9867627024650574
V3,15.815224,V2,V9,1862.985714,V4,V0,2.0,V1,V0,3.0,V0,69.290782,none,V1,1.0,V2,1.0,none,yes,0,11,0,0.9739758968353271
V3,17.30614,V2,V3,1523.023439,V0,V2,4.0,V2,V0,2.0,V0,29.574211,none,V1,1.0,V2,1.0,none,yes,0,11,0,0.969525158405304
V0,7.891923,V2,V3,1338.328482,V4,V0,2.0,V1,V0,3.0,V0,58.654837,none,V1,1.0,V3,1.0,yes,yes,0,11,0,0.9694498181343079
V3,18.987605,V2,V0,1596.453333,V1,V0,3.0,V2,V0,2.0,V2,34.404601,none,V1,1.0,V0,1.0,none,yes,0,11,0,0.6628814935684204
V2,11.953206,V3,V0,1907.731394,V0,V0,2.0,V0,V0,4.0,V1,21.274647,none,V1,1.0,V0,1.0,none,yes,0,11,0,0.8478944897651672
V1,30.769994,V4,V1,4168.314442,V0,V2,4.0,V2,V0,2.0,V3,32.027634,none,V2,2.0,V1,2.0,none,no,0,11,0,0.9663010835647583
V1,51.312563,V0,V6,9508.29788,V0,V3,4.0,V1,V0,4.0,V3,26.865417,none,V2,2.0,V1,1.0,none,yes,0,11,1,0.9203950762748718
V0,49.848048,V2,V9,6833.212053,V0,V2,4.0,V1,V0,2.0,V1,24.328058,bank,V0,1.0,V2,1.0,yes,yes,0,11,1,0.9584405422210693
V0,11.906906,V2,V3,877.503565,V0,V2,1.0,V2,V0,2.0,V0,22.38928,none,V0,1.0,V2,2.0,yes,yes,0,11,1,0.6151946187019348
V1,12.538315,V2,V0,3261.172483,V0,V3,3.0,V1,V0,1.0,V1,32.188185,none,V1,1.0,V3,1.0,yes,yes,0,11,0,0.7645018696784973
V3,12.260026,V4,V3,896.310691,V0,V4,4.0,V1,V0,1.0,V0,36.447324,none,V1,2.0,V1,1.0,none,yes,0,11,0,0.989098310470581
V0,24.78929,V2,V0,3802.326294,V0,V2,4.0,V2,V0,4.0,V3,25.950779,none,V1,1.0,V1,1.0,none,yes,0,11,1,0.7266108393669128
V3,5.322932,V2,V0,3126.490522,V4,V4,2.0,V3,V0,4.0,V2,48.476537,none,V1,4.0,V2,1.0,yes,yes,0,11,0,0.982573390007019
V3,23.209607,V4,V3,3002.420789,V0,V4,4.0,V2,V2,4.0,V1,53.946286,bank,V1,2.0,V2,2.0,none,yes,0,11,0,0.9752845168113708
V3,41.590357,V2,V10,5406.228857,V4,V3,2.0,V2,V1,3.0,V3,26.777348,none,V0,1.0,V3,2.0,yes,yes,0,11,0,0.9262253642082214
V3,12.681983,V2,V1,1492.385598,V0,V2,2.0,V2,V0,4.0,V3,29.910737,none,V2,1.0,V2,1.0,none,yes,0,11,0,0.911733865737915
V3,18.932685,V2,V2,1420.649687,V0,V1,3.0,V1,V0,4.0,V2,21.936008,none,V0,1.0,V2,1.0,none,yes,0,11,1,0.7836175560951233
V3,9.755059,V2,V9,1269.189321,V0,V1,2.0,V2,V0,4.0,V3,38.622772,none,V2,1.0,V1,1.0,none,yes,0,11,0,0.8756884932518005
V3,11.959028,V4,V3,987.393438,V0,V2,4.0,V2,V0,4.0,V0,46.089617,none,V1,2.0,V2,1.0,yes,yes,0,11,0,0.9561606049537659
V0,15.016582,V4,V2,2619.730347,V0,V2,4.0,V2,V1,4.0,V0,49.992232,none,V1,2.0,V3,1.0,yes,yes,0,11,1,0.5661062002182007
V3,13.685406,V4,V2,1049.806834,V3,V1,4.0,V3,V0,3.0,V2,28.183972,none,V0,1.0,V3,1.0,yes,yes,0,11,0,0.9162124395370483
V3,50.247636,V2,V0,6969.213273,V0,V3,3.0,V1,V0,2.0,V0,27.126254,bank,V1,1.0,V2,1.0,yes,yes,0,11,0,0.8925638198852539
V2,23.063809,V2,V0,3661.232032,V0,V2,4.0,V2,V0,3.0,V3,30.897389,none,V2,1.0,V2,1.0,none,yes,0,11,0,0.8545264601707458
V0,31.134621,V1,V5,1759.040415,V0,V3,4.0,V2,V0,4.0,V1,23.059439,bank,V1,2.0,V2,1.0,none,yes,0,11,1,0.9632869362831116
V0,11.005547,V0,V1,2030.482335,V0,V0,2.0,V2,V0,4.0,V0,41.691543,none,V1,2.0,V1,2.0,none,yes,0,11,1,0.6673494577407837
V0,16.542801,V4,V3,2093.973107,V0,V2,4.0,V0,V0,2.0,V3,60.897174,none,V1,2.0,V2,1.0,none,yes,0,11,0,0.695307195186615
V1,41.38531,V2,V0,5967.078594,V0,V2,2.0,V3,V0,4.0,V3,29.714865,bank,V1,1.0,V2,1.0,none,yes,0,11,1,0.9005665183067322
V1,15.719453,V2,V0,1264.752212,V0,V4,4.0,V2,V0,4.0,V0,44.877102,none,V1,1.0,V2,2.0,none,yes,0,11,0,0.622997522354126
V3,24.282666,V2,V2,3308.129774,V4,V3,1.0,V1,V0,2.0,V2,26.216606,none,V1,1.0,V3,1.0,yes,yes,0,11,0,0.9815452694892883
V1,38.565924,V2,V3,5673.032361,V2,V1,3.0,V2,V0,4.0,V3,25.891595,bank,V2,1.0,V2,1.0,yes,yes,0,11,1,0.677880048751831
V3,11.528431,V0,V0,803.06193,V4,V0,4.0,V2,V0,4.0,V0,50.784154,bank,V1,3.0,V3,1.0,yes,yes,0,11,0,0.9683466553688049
V0,41.1741,V1,V2,12642.575016,V0,V2,4.0,V2,V0,2.0,V3,47.732859,bank,V2,1.0,V2,1.0,yes,yes,0,11,1,0.9580263495445251
V3,23.580861,V2,V6,4790.80219,V1,V3,3.0,V1,V0,2.0,V2,22.930119,none,V1,1.0,V2,1.0,yes,yes,0,11,0,0.9275744557380676
V3,26.610009,V2,V3,1407.446732,V2,V4,3.0,V2,V0,2.0,V1,25.942871,none,V1,2.0,V2,1.0,yes,yes,0,11,0,0.9469556212425232
V3,11.888547,V2,V2,1261.371652,V0,V2,4.0,V2,V0,2.0,V0,33.673492,none,V0,1.0,V2,1.0,none,yes,0,11,0,0.9119505882263184
V3,12.310211,V4,V3,272.71527,V1,V2,3.0,V1,V0,2.0,V1,20.758312,none,V1,2.0,V2,1.0,none,yes,0,11,0,0.9692826867103577
V0,15.088416,V4,V2,2467.938508,V0,V2,3.0,V2,V0,2.0,V2,38.52107,none,V1,3.0,V1,1.0,yes,yes,0,11,0,0.8833068609237671
V1,25.248674,V2,V0,3186.418473,V0,V2,4.0,V2,V0,4.0,V0,39.874213,bank,V1,1.0,V2,2.0,none,yes,0,11,1,0.5057961344718933
V0,9.142485,V3,V3,1508.02182,V2,V3,2.0,V1,V1,2.0,V1,27.310015,none,V1,2.0,V2,1.0,none,yes,0,11,0,0.9405336976051331
V0,12.62799,V4,V8,1405.128099,V0,V4,4.0,V2,V0,2.0,V0,38.269326,none,V1,2.0,V1,1.0,none,yes,0,11,0,0.9724613428115845
V0,16.221525,V4,V1,698.751291,V0,V1,4.0,V2,V0,4.0,V1,28.772693,none,V1,2.0,V2,2.0,none,yes,0,11,0,0.7544405460357666
V3,23.917374,V2,V0,720.861442,V0,V3,4.0,V1,V0,4.0,V0,42.244964,bank,V1,1.0,V2,1.0,yes,yes,0,11,0,0.9377622008323669
V3,34.601033,V4,V2,6011.929182,V4,V4,2.0,V2,V0,2.0,V2,51.328679,bank,V1,2.0,V1,1.0,yes,yes,0,11,0,0.943598747253418
V1,10.216023,V4,V4,1324.765593,V4,V2,3.0,V2,V2,4.0,V0,54.782417,none,V1,2.0,V2,2.0,none,yes,0,11,0,0.9794524908065796
V3,7.615697,V3,V3,694.075682,V0,V2,1.0,V1,V0,2.0,V0,31.642373,stores,V1,2.0,V1,1.0,none,yes,0,11,0,0.94722980260849
V1,12.679072,V3,V3,2239.621555,V0,V2,4.0,V2,V0,4.0,V3,26.440122,none,V2,1.0,V2,2.0,none,yes,0,11,0,0.6313272714614868
V1,12.183308,V2,V1,2320.249228,V0,V0,2.0,V2,V0,4.0,V0,39.638269,none,V1,1.0,V2,2.0,none,yes,0,11,0,0.945641040802002
V3,17.00138,V4,V0,2170.351563,V0,V4,2.0,V2,V0,4.0,V0,37.89394,bank,V1,2.0,V2,1.0,yes,yes,0,11,0,0.9240034222602844
V3,24.856938,V4,V0,13285.660296,V4,V2,2.0,V2,V0,2.0,V2,38.533383,none,V1,2.0,V1,1.0,none,yes,0,11,0,0.9811010360717773
V3,11.612565,V2,V9,2514.549136,V4,V2,4.0,V1,V0,3.0,V1,36.930061,stores,V0,1.0,V1,1.0,none,yes,0,11,0,0.9551196694374084
V1,24.863924,V2,V3,894.937225,V0,V2,4.0,V2,V0,1.0,V0,35.97499,bank,V1,3.0,V3,2.0,none,yes,0,11,0,0.7073622941970825
V0,28.430896,V4,V2,2761.50169,V0,V2,1.0,V2,V0,2.0,V2,24.026145,none,V1,1.0,V1,1.0,none,yes,0,11,0,0.8175277709960938
V3,38.570376,V3,V9,5094.915456,V4,V2,2.0,V1,V0,2.0,V2,22.891192,none,V0,1.0,V2,1.0,yes,yes,0,11,0,0.7526969909667969
V3,11.874854,V2,V2,939.344121,V4,V2,4.0,V1,V0,4.0,V0,28.462191,none,V1,1.0,V3,1.0,yes,yes,0,11,0,0.8684957027435303
V1,24.418592,V4,V3,1711.268496,V4,V1,4.0,V3,V0,4.0,V1,27.527624,none,V1,1.0,V3,1.0,none,yes,0,11,0,0.9456391930580139
V1,16.315578,V4,V9,1817.575548,V0,V3,4.0,V2,V0,4.0,V2,28.333546,none,V1,1.0,V2,1.0,none,yes,0,11,0,0.7302566766738892
V3,12.528535,V2,V0,3064.663443,V0,V4,2.0,V1,V0,4.0,V1,22.758363,none,V1,1.0,V2,1.0,none,yes,0,11,0,0.9409008026123047
V3,15.150736,V1,V6,3798.086386,V1,V2,3.0,V2,V0,2.0,V1,31.527073,stores,V1,1.0,V1,1.0,none,yes,0,11,0,0.9559343457221985
V2,45.409709,V4,V1,5788.148048,V0,V2,2.0,V1,V0,4.0,V0,42.792634,none,V1,2.0,V1,1.0,none,yes,0,11,0,0.9891723990440369
V1,16.096336,V2,V2,2053.829475,V1,V1,4.0,V3,V2,2.0,V1,47.662927,none,V1,1.0,V2,1.0,none,yes,0,11,1,0.5006816387176514
V0,38.720416,V2,V3,1496.89033,V0,V2,4.0,V2,V0,1.0,V0,26.544488,none,V1,1.0,V1,1.0,none,yes,0,11,0,0.8295100927352905
V1,19.373521,V2,V0,1457.973536,V0,V4,4.0,V1,V0,4.0,V3,66.23879,none,V2,1.0,V2,1.0,yes,yes,0,11,1,0.7232192158699036
V3,12.390092,V2,V3,1620.361656,V1,V2,4.0,V2,V0,1.0,V2,22.367528,none,V1,1.0,V2,1.0,yes,yes,0,11,0,0.9825133085250854
V2,6.724428,V3,V3,1754.308824,V0,V3,4.0,V1,V0,3.0,V2,35.818437,stores,V1,1.0,V1,1.0,yes,yes,0,11,0,0.7524775862693787
V3,30.913367,V2,V9,7881.759118,V0,V2,2.0,V1,V0,1.0,V2,24.387283,none,V1,1.0,V2,1.0,none,yes,0,11,0,0.8140019178390503
V3,8.992657,V4,V3,1575.737602,V0,V2,2.0,V1,V0,3.0,V1,22.919939,none,V1,2.0,V1,1.0,none,yes,0,11,0,0.9544034600257874
V3,22.533825,V0,V2,3113.012697,V3,V3,4.0,V2,V0,3.0,V2,23.53821,none,V1,2.0,V3,1.0,yes,yes,0,11,0,0.8694990873336792
V3,11.988883,V2,V0,884.441846,V1,V4,2.0,V1,V0,4.0,V2,28.090975,none,V1,1.0,V2,1.0,yes,yes,0,11,0,0.9368659257888794
V1,11.716576,V2,V6,2900.77844,V1,V1,3.0,V0,V0,4.0,V2,27.411471,none,V1,1.0,V2,1.0,none,yes,0,11,1,0.8371888399124146
V3,24.342387,V2,V0,3369.174787,V4,V2,2.0,V2,V2,2.0,V2,32.167274,none,V1,1.0,V2,2.0,none,yes,0,11,0,0.9464524388313293
V1,15.173007,V2,V0,2422.598824,V4,V2,4.0,V2,V0,3.0,V3,32.977565,none,V2,1.0,V2,2.0,yes,yes,0,11,0,0.8984331488609314
V3,37.927288,V4,V2,3509.006799,V0,V3,2.0,V1,V0,1.0,V2,42.402995,none,V1,2.0,V2,1.0,none,yes,0,11,0,0.9833099246025085
V2,8.192501,V2,V9,863.552487,V3,V4,4.0,V2,V0,4.0,V1,35.870086,none,V1,1.0,V2,1.0,yes,yes,0,11,0,0.9704806208610535
V3,23.246981,V2,V0,6513.990476,V4,V2,3.0,V2,V0,2.0,V2,61.11756,none,V1,1.0,V1,1.0,none,no,0,11,0,0.9923890829086304
V0,5.209841,V2,V3,1514.839127,V4,V4,4.0,V2,V0,4.0,V2,42.719915,none,V1,1.0,V1,1.0,none,yes,0,11,0,0.9428797364234924
V3,14.620979,V4,V9,3435.539341,V4,V4,4.0,V2,V0,4.0,V0,40.158931,none,V1,4.0,V2,1.0,yes,yes,0,11,0,0.9772654175758362
V3,24.336312,V2,V9,8182.882677,V0,V1,2.0,V2,V0,4.0,V2,25.813199,none,V1,1.0,V3,1.0,yes,yes,0,11,0,0.8772953152656555
V3,7.103653,V2,V3,1574.250728,V0,V0,2.0,V1,V0,4.0,V0,27.2372,none,V1,1.0,V3,1.0,yes,yes,0,11,0,0.9782482385635376
V0,26.825824,V2,V9,2012.499613,V0,V4,4.0,V1,V0,4.0,V0,50.401154,none,V1,1.0,V3,1.0,yes,yes,0,11,1,0.716882586479187
V0,25.6036,V4,V1,1791.823814,V0,V4,2.0,V1,V1,2.0,V3,63.959747,none,V0,2.0,V2,1.0,none,yes,0,11,0,0.9316677451133728
V1,30.568327,V2,V0,2068.994659,V0,V4,4.0,V0,V0,2.0,V1,47.763908,none,V0,1.0,V3,1.0,none,yes,0,11,1,0.9456036686897278
V3,11.957235,V4,V3,814.558682,V0,V3,2.0,V3,V1,2.0,V1,23.652515,stores,V1,2.0,V1,1.0,none,yes,0,11,0,0.955096423625946
V3,6.472969,V2,V0,669.036521,V4,V3,2.0,V1,V0,3.0,V2,32.089957,none,V1,1.0,V2,1.0,none,yes,0,11,0,0.974777340888977
V1,38.891707,V1,V3,3291.441646,V4,V0,4.0,V2,V0,4.0,V0,32.894911,none,V1,1.0,V2,1.0,none,yes,0,11,0,0.5496453642845154
V1,35.561324,V0,V2,3692.708105,V4,V2,4.0,V2,V0,2.0,V0,39.032124,none,V1,2.0,V2,1.0,none,yes,0,11,1,0.5999216437339783
V0,7.215406,V2,V2,6629.43429,V0,V0,3.0,V3,V0,4.0,V3,27.906391,none,V2,1.0,V3,1.0,yes,yes,0,11,1,0.6783300638198853
V1,25.309342,V4,V2,4111.655118,V0,V0,3.0,V2,V0,2.0,V1,28.056653,none,V0,2.0,V3,2.0,yes,yes,0,11,1,0.7449305653572083
V3,22.672539,V4,V2,6368.081816,V4,V0,1.0,V2,V0,3.0,V2,54.937857,none,V1,3.0,V3,1.0,yes,yes,0,11,0,0.9868687987327576
V0,16.919549,V2,V2,5558.928214,V0,V4,1.0,V2,V0,4.0,V2,44.592473,bank,V0,1.0,V2,1.0,none,yes,0,11,1,0.657633900642395
V0,23.92055,V2,V1,1373.42424,V4,V4,4.0,V1,V0,4.0,V0,22.745339,none,V1,1.0,V2,1.0,yes,yes,0,11,0,0.9270229339599609
V3,39.025642,V2,V3,11341.90921,V4,V4,4.0,V2,V0,4.0,V3,56.478966,none,V2,2.0,V2,2.0,yes,yes,0,11,0,0.9039683938026428
V3,40.827041,V3,V1,4563.183723,V4,V3,4.0,V2,V0,4.0,V2,29.191997,none,V1,1.0,V2,1.0,none,yes,0,11,0,0.9116462469100952
V2,27.52245,V2,V0,1317.661347,V0,V4,4.0,V2,V0,3.0,V2,21.877703,none,V2,1.0,V2,1.0,none,yes,0,11,0,0.719019889831543
V3,23.20621,V4,V0,1797.850108,V0,V2,4.0,V2,V0,1.0,V1,26.330205,none,V1,2.0,V2,1.0,yes,yes,0,11,0,0.9776344895362854
V3,23.258832,V4,V9,2759.524492,V4,V1,2.0,V1,V0,2.0,V2,21.317984,none,V1,2.0,V2,2.0,none,yes,0,11,0,0.9076223969459534
V0,11.972647,V2,V3,722.218739,V0,V1,3.0,V2,V0,3.0,V0,39.849708,none,V1,1.0,V2,1.0,none,yes,0,11,0,0.9362421035766602
V0,51.465659,V2,V1,3550.196653,V0,V3,4.0,V3,V0,2.0,V2,28.485832,none,V1,1.0,V1,1.0,none,yes,0,11,0,0.9174847602844238
V0,16.187696,V4,V3,2398.538781,V0,V2,4.0,V1,V0,4.0,V3,41.744205,bank,V2,2.0,V3,2.0,yes,yes,0,11,1,0.5233627557754517
V3,8.540574,V3,V3,1370.857499,V0,V0,4.0,V2,V0,4.0,V0,27.442464,none,V0,2.0,V1,1.0,none,yes,0,11,0,0.9744741916656494
V1,42.375775,V2,V4,4127.850615,V0,V1,4.0,V0,V0,4.0,V2,33.077268,none,V0,1.0,V2,1.0,none,yes,0,11,1,0.9249058961868286
V3,25.891018,V4,V0,1027.818347,V0,V2,2.0,V1,V0,2.0,V0,32.335274,none,V1,1.0,V2,1.0,none,yes,0,11,0,0.9274251461029053
V0,7.890658,V2,V1,1166.929472,V4,V3,4.0,V2,V0,4.0,V3,32.820888,none,V2,2.0,V2,1.0,none,yes,0,11,0,0.8031948804855347
V3,4.138087,V4,V8,1796.968257,V1,V0,4.0,V1,V0,4.0,V2,24.011831,none,V1,2.0,V3,1.0,yes,yes,0,11,0,0.9924352169036865
V3,12.225666,V4,V1,3498.502737,V0,V1,4.0,V0,V0,2.0,V0,19.821036,none,V1,2.0,V3,1.0,yes,yes,0,11,0,0.96454256772995
V2,16.141912,V2,V2,1449.523235,V4,V4,3.0,V2,V0,2.0,V0,59.461247,none,V1,1.0,V1,1.0,none,yes,0,11,0,0.9452800154685974
V1,18.186527,V4,V3,3972.616995,V0,V4,4.0,V1,V0,4.0,V2,53.885554,none,V1,1.0,V2,1.0,none,yes,0,11,0,0.9300075769424438
V3,12.346039,V2,V2,2240.017009,V4,V3,4.0,V2,V0,3.0,V1,52.85567,none,V0,1.0,V2,1.0,yes,yes,0,11,0,0.9770389199256897
V3,24.274346,V4,V0,4556.093432,V0,V4,3.0,V0,V0,4.0,V2,50.583431,none,V1,2.0,V2,1.0,yes,no,0,11,0,0.9715169668197632
V0,11.8828,V2,V3,1366.988622,V0,V1,3.0,V1,V0,2.0,V1,22.369441,none,V1,1.0,V2,1.0,yes,yes,0,11,1,0.636987566947937
V0,16.626337,V4,V0,2169.127156,V0,V2,4.0,V2,V1,4.0,V2,31.740923,none,V1,2.0,V2,1.0,yes,yes,0,11,0,0.753028392791748
V0,11.772081,V4,V3,2496.156826,V0,V1,4.0,V3,V0,1.0,V2,21.817742,none,V1,2.0,V2,1.0,yes,yes,0,11,0,0.9640074968338013
V3,12.474701,V2,V0,719.082869,V0,V2,4.0,V1,V0,2.0,V0,31.264437,none,V0,1.0,V3,1.0,yes,yes,0,11,0,0.7206211090087891
V0,7.489082,V4,V3,3944.899556,V0,V3,3.0,V1,V0,4.0,V2,30.485219,bank,V1,2.0,V2,1.0,none,yes,0,11,0,0.5326911211013794
V0,25.054443,V4,V2,9868.423754,V0,V1,1.0,V2,V2,1.0,V1,34.566073,none,V1,2.0,V2,1.0,yes,yes,0,11,0,0.8450387716293335
V1,39.838575,V0,V4,2812.382721,V0,V2,4.0,V2,V1,2.0,V0,31.956343,none,V0,1.0,V2,1.0,yes,yes,0,11,1,0.9305975437164307
V2,16.028333,V2,V0,1681.996527,V0,V1,4.0,V1,V0,1.0,V1,27.691253,none,V1,1.0,V1,2.0,none,yes,0,11,0,0.7257949113845825
V2,44.019223,V2,V0,4460.861491,V0,V1,2.0,V2,V0,4.0,V3,39.458734,none,V1,1.0,V1,1.0,none,yes,0,11,0,0.5784084796905518
V0,39.693522,V2,V0,3205.467772,V4,V1,4.0,V1,V0,4.0,V2,21.571711,none,V1,1.0,V1,1.0,none,yes,0,11,1,0.86750727891922
V2,3.330406,V4,V6,2478.399605,V0,V4,4.0,V3,V0,4.0,V2,33.118629,none,V0,2.0,V2,1.0,none,yes,0,11,0,0.9726741313934326
V1,29.126996,V2,V3,3446.008928,V1,V3,2.0,V0,V0,2.0,V0,20.527897,none,V2,1.0,V2,1.0,yes,yes,0,11,1,0.893862783908844
V1,49.006285,V1,V3,6676.989021,V0,V2,4.0,V3,V0,4.0,V1,63.975,none,V1,3.0,V2,1.0,none,yes,0,11,1,0.9530693888664246
V2,7.468946,V4,V2,3939.552659,V4,V4,1.0,V2,V0,1.0,V2,39.093334,none,V1,2.0,V2,1.0,none,yes,0,11,0,0.9882952570915222
V0,14.26473,V2,V2,583.774079,V4,V0,4.0,V1,V0,2.0,V2,22.979008,bank,V0,2.0,V3,1.0,yes,yes,0,11,1,0.9705129265785217
V0,23.305139,V2,V3,638.348712,V3,V4,4.0,V2,V2,4.0,V0,45.767303,none,V1,3.0,V2,1.0,none,no,0,11,0,0.9904003739356995
V0,6.279657,V2,V3,972.461994,V0,V1,4.0,V2,V0,3.0,V1,25.64577,none,V1,1.0,V2,1.0,none,yes,0,11,0,0.7599960565567017
V0,18.709552,V4,V6,1427.150818,V0,V2,4.0,V3,V0,4.0,V0,21.616874,none,V1,1.0,V3,1.0,none,yes,0,11,0,0.7107789516448975
V1,12.667825,V4,V2,1061.002158,V4,V3,1.0,V1,V0,1.0,V0,43.584041,none,V1,2.0,V3,1.0,yes,yes,0,11,0,0.9806644320487976
V0,19.778598,V2,V0,1016.500333,V0,V2,4.0,V1,V0,2.0,V2,28.257312,bank,V1,1.0,V2,1.0,yes,yes,0,11,1,0.9160028100013733
V0,31.085299,V1,V2,11594.686791,V0,V1,4.0,V1,V0,4.0,V1,23.830955,none,V1,2.0,V0,1.0,yes,yes,0,11,1,0.99017333984375
V3,11.746291,V2,V9,1573.417346,V4,V2,4.0,V3,V0,2.0,V2,39.25334,none,V1,1.0,V2,1.0,none,yes,0,11,0,0.9381220936775208
V3,15.006951,V4,V0,3501.571836,V0,V1,1.0,V2,V0,2.0,V2,33.164548,none,V1,2.0,V1,1.0,none,yes,0,11,0,0.9693782329559326
V3,11.749754,V2,V9,1373.826253,V1,V2,4.0,V2,V0,3.0,V1,39.453334,none,V1,1.0,V2,1.0,none,yes,0,11,0,0.9236648082733154
V3,12.588528,V2,V3,3523.968691,V4,V4,3.0,V1,V0,4.0,V2,56.537313,none,V0,1.0,V2,1.0,none,yes,0,11,0,0.9325466752052307
V3,12.463649,V3,V9,675.952567,V4,V0,4.0,V2,V0,4.0,V0,40.177895,none,V1,2.0,V2,1.0,none,yes,0,11,0,0.9272046685218811
V3,3.973984,V2,V6,1188.50352,V3,V4,4.0,V1,V0,4.0,V0,22.481167,none,V1,1.0,V2,1.0,none,yes,0,11,0,0.9889605641365051
V1,37.265826,V1,V0,10192.435068,V0,V2,1.0,V3,V0,2.0,V1,23.840864,none,V1,1.0,V2,1.0,yes,yes,0,11,1,0.9409276247024536
V1,25.706275,V4,V3,1392.25418,V2,V2,4.0,V2,V0,1.0,V0,24.256627,none,V1,1.0,V2,1.0,yes,yes,0,11,0,0.9339377284049988
V3,17.736917,V2,V0,2215.072065,V0,V2,2.0,V2,V0,2.0,V0,40.719938,bank,V1,1.0,V2,1.0,none,yes,0,11,0,0.7072451710700989
V3,11.986245,V4,V3,1436.629619,V4,V4,2.0,V1,V0,4.0,V1,57.486252,none,V1,2.0,V2,1.0,none,yes,0,11,0,0.9853584170341492
V1,24.018302,V2,V2,2450.731661,V0,V3,4.0,V2,V0,3.0,V0,57.969023,none,V1,1.0,V2,1.0,none,yes,0,11,0,0.8567573428153992
V2,45.781736,V1,V3,6943.804878,V1,V4,4.0,V2,V2,4.0,V2,51.966031,stores,V1,1.0,V2,1.0,none,yes,0,11,0,0.7488561868667603
V1,25.392683,V2,V3,754.132402,V0,V0,1.0,V1,V0,1.0,V0,33.824443,none,V1,1.0,V3,1.0,yes,yes,0,11,1,0.9470055103302002
V3,15.982237,V2,V3,1320.064863,V0,V2,4.0,V1,V0,3.0,V1,37.202369,none,V1,1.0,V1,1.0,yes,yes,0,11,0,0.9795894622802734
V1,9.477419,V4,V5,1159.622564,V0,V4,4.0,V1,V0,2.0,V2,51.676326,none,V1,1.0,V2,1.0,none,no,0,11,0,0.9373342990875244
V3,11.94841,V2,V3,1114.907577,V0,V2,2.0,V2,V0,4.0,V0,34.166374,none,V0,1.0,V3,1.0,yes,yes,0,11,0,0.9724823832511902
V3,9.876035,V2,V3,915.634814,V0,V3,4.0,V3,V0,3.0,V0,27.932735,none,V1,1.0,V3,1.0,yes,yes,0,11,0,0.9967394471168518
V2,8.47737,V2,V2,1323.036202,V0,V4,2.0,V2,V0,2.0,V2,38.188924,none,V1,1.0,V2,1.0,none,yes,0,11,0,0.9265449643135071
V0,14.507736,V4,V3,3181.162262,V0,V2,3.0,V2,V0,2.0,V2,33.477329,stores,V1,2.0,V2,1.0,none,yes,0,11,0,0.8798247575759888
V3,38.272383,V3,V0,3928.39489,V1,V4,4.0,V1,V0,4.0,V1,51.412469,stores,V1,1.0,V3,1.0,yes,yes,0,11,0,0.6817417740821838
V3,12.435724,V4,V3,805.346112,V0,V2,4.0,V0,V0,2.0,V0,64.787081,none,V1,1.0,V2,1.0,yes,yes,0,11,0,0.983134388923645
V2,5.807746,V4,V3,862.71355,V0,V3,1.0,V2,V0,4.0,V2,66.824848,none,V1,3.0,V2,1.0,yes,yes,0,11,0,0.9719979166984558
V1,24.153795,V2,V5,2172.801313,V3,V2,4.0,V2,V0,2.0,V3,26.042151,none,V2,1.0,V2,1.0,none,yes,0,11,0,0.6355093717575073
V0,19.331118,V2,V3,2778.169375,V0,V2,4.0,V2,V0,2.0,V2,36.106818,none,V0,1.0,V1,1.0,none,yes,0,11,1,0.5907363891601562
V1,12.392004,V0,V3,1205.01461,V1,V3,4.0,V1,V0,4.0,V2,23.598598,none,V1,2.0,V3,1.0,none,yes,0,11,1,0.9161504507064819
V3,19.279032,V4,V0,2823.538852,V1,V3,3.0,V2,V0,1.0,V2,34.464118,none,V0,2.0,V2,1.0,none,yes,0,11,0,0.9461402893066406
V0,12.014449,V0,V4,866.006458,V0,V2,4.0,V2,V0,2.0,V2,20.663963,bank,V1,1.0,V1,2.0,none,yes,0,11,1,0.9137312769889832
V3,25.151837,V2,V3,1673.061255,V0,V4,2.0,V2,V2,4.0,V0,54.780288,none,V1,1.0,V2,1.0,none,yes,0,11,0,0.9756243824958801
